Lines changed
4
22
29
185
18
23
1
1
1
71
34
15
13
17
61
25
2
62
4
2
2
3
2
6
2
5
4
17
1
1
38
62
8
16
12
35
15
1
39
42
2
44
6
6
6
34
24
66
13
7
1
7
57
28
24
18
12
15
40
10
8
16
4
8
94
1
2
1
5
7
10
330
334
7
4
9
4
5
3
9
7
19
2
2
36
32
4
5
2
84
93
83
84
89
13
15
3
11
13
17
5
4
43
6
64
37
12
38
12
3
22
3
67
59
38
11
98
99
12
9
5
1
10
4
10
2
31
31
63
2
36
12
44
5
2
36
25
27
3
25
9
4
8
11
22
24
7
6
25
78
52
50
56
12
1
290
10
12
11
12
11
55
22
6
37
5
17
15
3
2
11
1
4
1
8
11
15
8
11
18
13
10
7
9
8
1
5
3
4
34
7
6
2
6
1
5
7
0
28
