Lines changed
1190
1
4
2
8
261
8
19
13
5
2
4
2
3
5
2
1
2
2
1
7
6
3
11
7
5
2
15
11
3
5
2
2
3
4
4
97
16
144
1
12
9
51
1018
5
4
59
16
27
415
50
6796
97
23
1
9
989
1
1
1
1
1005
993
10
13
3
1832
6511
0
1645
9787
13
33
85
34
79
20
153
2
1
4
5
9
19
7
4
92
17
11
94
34
170
2
57
12
218
1
1
3
6
40
6
39
66
33
15
2
52
33
1
33
14
7
15007
15282
7385
29823
26
1
3
18
23
5
9
37
2
62
24
52
6345
12047
24384
12641
6786
43
12
227
13
7
31
67
54
35
1
29
6124
25
6572
3
53
49
1
11283
5013
2
7266
7148
9
126
23
2
11
4
23
2
29
23
46
22
66
82
33514
24
6
21358
5
494285
57323
27384
85
23
65
1
5
81
38
81
38
29
8
66
56
143
138
51
4
2
3
55187
226777
6
0
55055
0
738096
6974
39
5
13
39
34
14
5
230
71298
34
45
10
9
1
5
7
71576
71584
3
8
109
47
4
20
1
53
16
1
30
7
17
32
121
68
45
2
3
5
49
8
1
27
2
3
22
3
33
4
4
114331
114338
5
12
4
2
1
10
6
1
9
3
6
7
5
8
5
4
8
35
8
35
27
9
8
8
27
7
4
6
4
1
12
39
31
9
171
157
9
24
23
31
114324
111756
142
66
1
4
8
64
23
16
14
15
1
2
13
202
206
8
202
2325
47
43
101
6
6
10
35
10
1
1
11
28
6
29
27
98
72
2
1
104
1
100
11
4
1
2
2
45
2
1
96
401
25
25
43
15
43
57
9
5207
13
35
30
11
9
20
517
4
57
4
9
4
2
5
21
7
0
5
0
2
20
0
22
1
2
2
4
12
21
19
16
2
2
2
2
228214
227987
38
54
1
106
106
1
0
90
30
0
19
2
29
3
1
2
2
19
123
56078
18341
346
21
1
15
4005
407
5470
4
11
