Commit,Words,Delta
4, 14784, 14784
5, 14784, 0
6, 15061, 277
7, 15061, 0
8, 15078, 17
9, 15735, 657
10, 15752, 17
11, 15772, 20
12, 15787, 15
13, 16273, 486
14, 16285, 12
16, 16255, -30
17, 16266, 11
18, 16562, 296
19, 16614, 52
20, 16623, 9
21, 16992, 369
22, 17121, 129
23, 17124, 3
24, 17521, 397
25, 17551, 30
26, 17590, 39
27, 17590, 0
28, 18115, 525
30, 18146, 31
31, 18152, 6
32, 18277, 125
33, 18277, 0
34, 18277, 0
37, 18277, 0
39, 18433, 156
40, 18533, 100
41, 18545, 12
42, 18642, 97
43, 19034, 392
44, 19181, 147
45, 19181, 0
46, 19798, 617
47, 19850, 52
48, 20113, 263
49, 20375, 262
50, 20393, 18
51, 20517, 124
52, 20553, 36
53, 20850, 297
54, 17014, -3836
56, 21195, 4181
57, 21195, 0
58, 21469, 274
59, 17014, -4455
61, 21707, 4693
62, 21707, 0
63, 21722, 15
64, 22019, 297
65, 17014, -5005
66, 22120, 5106
67, 22120, 0
68, 17236, -4884
69, 17236, 0
70, 17539, 303
71, 17793, 254
72, 17793, 0
73, 22428, 4635
74, 22469, 41
75, 22469, 0
76, 22960, 491
77, 23229, 269
78, 23229, 0
79, 23440, 211
80, 23440, 0
81, 18282, -5158
82, 18288, 6
83, 23606, 5318
84, 23606, 0
85, 18377, -5229
86, 23659, 5282
87, 23680, 21
88, 23303, -377
89, 18377, -4926
90, 23706, 5329
91, 18377, -5329
92, 18373, -4
93, 23315, 4942
94, 23500, 185
95, 23500, 0
96, 23846, 346
98, 23706, -140
99, 23713, 7
100, 23713, 0
101, 23197, -516
102, 23719, 522
103, 23725, 6
104, 23367, -358
105, 23706, 339
106, 23728, 22
107, 23743, 15
108, 23599, -144
109, 23802, 203
110, 23706, -96
111, 23682, -24
112, 23706, 24
113, 23706, 0
114, 23969, 263
115, 23989, 20
116, 23989, 0
117, 23719, -270
120, 23706, -13
121, 24224, 518
122, 23713, -511
123, 24224, 511
124, 24237, 13
125, 23732, -505
126, 24014, 282
127, 24237, 223
128, 24014, -223
129, 23996, -18
130, 24440, 444
131, 24061, -379
132, 24063, 2
133, 24132, 69
134, 24620, 488
135, 24132, -488
136, 24620, 488
138, 24620, 0
139, 24014, -606
140, 21016, -2998
141, 21039, 23
142, 21198, 159
143, 21198, 0
144, 21342, 144
145, 21763, 421
146, 22138, 375
147, 22324, 186
148, 22340, 16
149, 22385, 45
150, 22634, 249
151, 22732, 98
152, 22820, 88
153, 22988, 168
154, 23056, 68
155, 23056, 0
156, 23396, 340
157, 23396, 0
158, 23402, 6
159, 23982, 580
160, 23982, 0
161, 24096, 114
162, 24096, 0
163, 24154, 58
164, 24166, 12
165, 24228, 62
166, 24398, 170
167, 24909, 511
168, 25080, 171
169, 25436, 356
170, 25513, 77
171, 25840, 327
172, 25943, 103
173, 25943, 0
174, 26081, 138
175, 26210, 129
176, 26658, 448
177, 26664, 6
178, 26945, 281
179, 27499, 554
180, 27887, 388
181, 28281, 394
182, 28472, 191
183, 28486, 14
184, 28494, 8
187, 28928, 434
188, 28928, 0
189, 28928, 0
190, 29155, 227
191, 29292, 137
192, 29292, 0
193, 29292, 0
194, 29839, 547
195, 29869, 30
196, 30111, 242
197, 30111, 0
198, 30421, 310
199, 30565, 144
200, 30565, 0
201, 30945, 380
202, 31259, 314
203, 31409, 150
204, 31459, 50
205, 31559, 100
206, 31559, 0
207, 31560, 1
208, 31560, 0
210, 32494, 934
211, 32495, 1
